date,actual,forecast,lower_80,upper_80
2016-05-13 19:00:00,208.33333333333337,124.87346,106.26218,215.12445
2016-05-13 20:00:00,120.0,109.13598,92.91953,122.068085
2016-05-13 21:00:00,63.333333333333336,75.950424,64.6605,91.68791
2016-05-13 22:00:00,55.0,61.581432,53.37057,78.687386
2016-05-13 23:00:00,61.666666666666664,56.791763,51.796825,80.05586
2016-05-14 00:00:00,58.333333333333336,56.791763,49.812534,73.555595
2016-05-14 01:00:00,63.333333333333336,56.791763,48.58091,73.692444
2016-05-14 02:00:00,60.0,57.476,53.37057,73.555595
2016-05-14 03:00:00,60.0,56.791763,49.74411,73.21348
2016-05-14 04:00:00,60.0,56.791763,47.89667,68.90278
2016-05-14 05:00:00,56.666666666666664,58.16024,51.796825,75.40304
2016-05-14 06:00:00,63.333333333333336,66.02898,53.37057,77.45576
2016-05-14 07:00:00,113.33333333333331,57.476,52.002098,86.14558
2016-05-14 08:00:00,133.33333333333334,65.00262,54.602203,174.75441
2016-05-14 09:00:00,118.33333333333331,68.081696,53.37057,88.60883
2016-05-14 10:00:00,158.33333333333334,66.71321,56.107525,84.84553
2016-05-14 11:00:00,96.66666666666669,75.950424,56.791763,94.766975
2016-05-14 12:00:00,116.66666666666669,74.92408,56.58649,98.87241
2016-05-14 13:00:00,113.33333333333331,74.92407,54.602203,120.083786
2016-05-14 14:00:00,106.66666666666669,70.134415,56.449646,95.24594
2016-05-14 15:00:00,130.0,84.161285,58.02339,102.36203
2016-05-14 16:00:00,111.66666666666669,82.45069,66.097404,119.74167
2016-05-14 17:00:00,241.66666666666663,104.004196,74.37668,177.08083
2016-05-14 18:00:00,166.66666666666666,105.372665,78.55054,124.189224
