date,forecast,standard_error,lower_95,upper_95,actual
2016-05-13 19:00:00,204.18752455698947,60.948149196709366,84.73134720706528,323.64370190691363,208.33333333333337
2016-05-13 20:00:00,167.14979834415388,64.91265064733031,39.92334093435585,294.3762557539519,120.0
2016-05-13 21:00:00,122.88594770262196,68.42160250409593,-11.217928969921644,256.98982437516554,63.333333333333336
2016-05-13 22:00:00,80.21638115753152,69.68678827556491,-56.36721406084379,216.79997637590682,55.0
2016-05-13 23:00:00,70.66890786004998,70.28475168579084,-67.08667410644091,208.42448982654088,61.666666666666664
2016-05-14 00:00:00,55.41764578462339,70.68169353591483,-83.11592791206722,193.951219481314,58.333333333333336
2016-05-14 01:00:00,49.41532639972512,70.92809932599894,-89.6011937711125,188.43184657056275,63.333333333333336
2016-05-14 02:00:00,52.38602129061721,71.00625750140573,-86.78368608911506,191.55572867034948,60.0
2016-05-14 03:00:00,42.765027886989884,71.02066031707771,-96.43290849273544,181.9629642667152,60.0
2016-05-14 04:00:00,57.74399208398205,71.03276726829735,-81.47767348409636,196.96565765206046,60.0
2016-05-14 05:00:00,55.15320395900666,71.05660653788864,-84.11518571888841,194.42159363690172,56.666666666666664
2016-05-14 06:00:00,75.97699362677585,71.0977398415556,-63.37201584487161,215.3260030984233,63.333333333333336
2016-05-14 07:00:00,94.64674833601018,71.107376100901,-44.72114785689996,234.01464452892031,113.33333333333331
2016-05-14 08:00:00,112.93420101190227,71.10737607444716,-26.433695129159275,252.30209715296382,133.33333333333334
2016-05-14 09:00:00,102.91293694407094,71.11493225146243,-36.46976903180138,242.29564291994325,118.33333333333331
2016-05-14 10:00:00,105.02895012713518,71.14183644713037,-34.40648710327932,244.46438735754967,158.33333333333334
2016-05-14 11:00:00,118.12108231236002,71.15235157480275,-21.33496418958518,257.5771288143052,96.66666666666669
2016-05-14 12:00:00,102.66514217306178,71.16091029168615,-36.80767910572874,242.1379634518523,116.66666666666669
2016-05-14 13:00:00,110.15411661691884,71.16245413727793,-29.321730543629272,249.62996377746697,113.33333333333331
2016-05-14 14:00:00,95.64428297653784,71.16588797162913,-43.8382943756675,235.1268603287432,106.66666666666669
2016-05-14 15:00:00,100.38335106815995,71.1781895891921,-39.1233370114204,239.8900391477403,130.0
2016-05-14 16:00:00,127.16090042817197,71.18519348485738,-12.359515034663787,266.6813158910077,111.66666666666669
2016-05-14 17:00:00,181.1926365035088,71.1857321090749,41.671165356605485,320.7141076504121,241.66666666666663
2016-05-14 18:00:00,182.4475383121615,71.18573219943153,42.92606698816246,321.96900963616054,166.66666666666666
